,id,id_p
449,791,NB ACER ASPIRE 7 A715-42G-R75V R5-5500U/16GB/512GB/RTX3050/FHD/WIN11 OHS CHARCOAL BLACK
450,20221015016,"ACER PC DESKTOP VM690G/CI5-12400/8GB/1TB HDD/DVDRW /NO WIFI /W HCLS/21.5""/SKD_ID"
451,20221026001,ACER ASPIRE VERO AV14-51-59QK/CORE I5-1235U/8GB/512GB/IRIS XE/W11H/OHS/FHD
452,848,AXIOO SLIMBOOK 14 R5/8GB/256GB
453,336,ASUS NOTEBOOK/A416MAO-VIPS422/N4020/UMA/4GB/256GB SSD/VIPS FHD/SLATE GREY/OPI/WIN 11
454,20221026002,ASUS A416JAO-VIPS526|I5-1035G1|8GB|256GB SSD|14 FHD IPS|WIN11+OHS|GREY
455,20221027001,MY PC PRO L7V(16S2H16-22-V4) INTEL CORE I7-12700F 16GB/SSD 256GB + HDD 2TB VGA 4GB WIN
456,20221025001,NB ASUS NOTEBOOK /A1402ZA-IPS553/I5-1235U/8GB/512G/SILVER/WIN11
457,20220928001,DELL SERVER POWEREDGE T40 XEON E-222
458,20221027002,DELL MONITOR 2016H
459,20221008003,ACER MONITOR RG241Y_P IPS FHD 165HZ
460,20221022003, ASUS NOTEBOOK/A516MA0-FHD424/N4020/UMA/4GB/256GB PCIE/HDD HOUSING/FHD/TRANSPARENT SILVER/OPI/WIN 11
461,20221026003,ACER ASPIRE VERO AV15-51R-59GN I5-1155G7 8GB DDR4 512GB SSD NVME INTEL IRIS XE 15.6″ FHD
462,20221103005,PROJECTOR VIEWSONIC PS700W ULTRA SHORT THROW
463,20221103001,HP SMART TANK 615 WIRELLESS ALL-IN-ONE
464,20221022004,ASUS NOTEBOOK /E410MA0-FHD4511/N4020/UMA/4GB/512GB SSD/FHD/PEACOCK BLUE
465,20221004001,EPSON PROJECTOR EB-X51
466,20221029002,MOUSE LOGITECH M170 WIRELESS
467,20221029001,MOUSE LOGITECH M90
468,20221029003,MOUSE LOGITECH M190 WIRELESS KOZAK CHARCOAL
469,20221029004,MOUSE LOGITECH M221 SILENT WIRELESS BLUE
470,20221028001,LOGITECH BCC 950 CONFERENCE CAMERA
471,20221027003,"MONITOR AXIOO 22"""
472,20221029005,MOUSE LOGITECH M221 SILENT WIRELESS CHARCOAL OFL
473,20221029006,MOUSE LOGITECH M221 SILENT WIRELESS OFF WHTS
474,20221029007,MOUSE LOGITECH M221 SILENT WIRELESS RED
475,20221027004,ACER MONITOR VG272 
476,963,AXIOO 11G MYBOOK N4020  6GB/256GB SSD GREY
477,20221103002,PRINTER EPSON PLQ-35 PASSBOOK PRINTER INDO
478,20221103003,"MI 23.3"" DEKSTOP MONITOR 1C"
479,20221007003,PRINTER EPSON L1250
480,20221103004,"MI DEKSTOP MONITOR 27"""
