,user,id_p,coun
87,343,"SCREEN TRIPOD 70"" PIXEL",1.0
88,344,NB ACER SWIFT X SFX141G-R1B6 R5-5600U/1*16GB/512GB SSD/RTX 3050/W11H/OHS,1.0
89,345,EPSON EB-E500,1.0
90,346,RAM 8GB KINGSTON,1.0
91,347,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
92,347,MOUSE VOTRE,1.0
93,348,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
94,349,ASUS A416KA,1.0
95,350,MONITOR SAMSUNG S22A336NHE,1.0
96,351,RAM 4GB KINGSTON,1.0
97,352,NB ACER ASPIRE 5 A514-55-537X/CORE I5-1235U/1*8GB/512GB/WIN11 SLATE GREY,1.0
98,353,LENOVO NOTEBOOK IP SLIM 31 7GID (N4020/4GB/512GB),1.0
99,320,EPSON EB-X500,1.0
100,336,EPSON EB-X500,1.0
101,302,EPSON EB-X500,1.0
102,302,EPSON EB-X500,1.0
103,302,EPSON EB-X500,1.0
104,329,VIEWSONIC PA-503S,1.0
105,354,AXIO 14E 4GB/256GB SSD SILVER,1.0
106,355,MONITOR SAMSUNG S22A336NHE,1.0
107,356,MONITOR DAHUA 19INC,1.0
108,357,RAM 4GB KINGSTON,1.0
109,357,RAM 4GB KINGSTON,1.0
110,357,RAM 4GB KINGSTON,1.0
111,357,RAM 4GB KINGSTON,1.0
112,357,TENDA ROUTER,1.0
113,357,TENDA ROUTER,1.0
114,357,NB ACER ASPIRE 5 A514-45-R6EZ/ R5-5500U/2*4GB/512GB/W11H/OHS/FHD,1.0
115,357,INTEL MINI PC NUC11ATK NO POWER CORD,1.0
116,357,INTEL MINI PC NUC11ATK NO POWER CORD,1.0
117,357,INTEL MINI PC NUC11ATK NO POWER CORD,1.0
118,357,INTEL MINI PC NUC11ATK NO POWER CORD,1.0
119,357,PROJECTOR EPSON EB-W06,1.0
120,357,PROJECTOR EPSON EB-W06 WXGA,1.0
121,358,LENOVO NOTEBOOK IP SLIM 31 7GID (N4020/4GB/512GB),1.0
122,359,ASUS A416KA,1.0
123,360,MOUSE VOTRE,1.0
124,361,SCREEN PIXEL MANUAL 70,1.0
125,362,RAM 4GB KINGSTON,1.0
126,364,ASUS NOTEBOOK A416JAO-FHD326 (I3-1005G1/4GB/256)S,1.0
127,364,MOUSE KABEL,1.0
128,365,NB ACER ASPIRE 5 A514-55-537X/CORE I5-1235U/1*8GB/512GB/WIN11 SLATE GREY,1.0
129,366,NB ACER ASPIRE 5 A514-55-537X/CORE I5-1235U/1*8GB/512GB/WIN11 SLATE GREY,1.0
130,367,"HP 245G8 R5-5500U 14"" 8GB/512GB/WIN10",1.0
131,367,MOUSE VOTRE,1.0
132,368,RAM 8GB KINGSTON,1.0
133,369,NB ACER ASPIRE 7 A715-42G-R75V R5-5500U/16GB/512GB/RTX3050/FHD/WIN11 OHS CHARCOAL BLACK,1.0
134,370,PROVIEW PRO-19ALED-2K,1.0
135,371,ASUS VIVOBOOK INTEL PENTIUM SILVER /T3300KA-OLED622/N6000/8GB/256GB/0LED FHD/BLACK/WIN11,1.0
136,372,ACER PROJECTOR BS-120PA XGA-4000 ANSI,1.0
137,373,ASUS NOTEBOOK /A516KA-FHD422/N4500/UMA/4GB/256GB SSD/FHD/TRANSPARENT SILVER/OPI/WIN11,1.0
138,375,PRINTER EPSON L3210,1.0
139,376,HP 245 G8 RYZEN 5,1.0
140,377,AXIOO SLIMBOOK 14 R5/8GB/256GB,1.0
141,377,AXIOO SLIMBOOK 14 R5/8GB/256GB,1.0
142,378,MONITOR PHILIPS 241V8 ,1.0
143,380,NB ACER ASPIRE 3 A314-35-C91P N5100 4GB/256 W11 OHS FHD PURE SILVER,1.0
144,380,EPSON L3210,1.0
145,381,BENQ MS-550,1.0
146,381,BENQ MS-550,1.0
147,382,"AOC 28""",1.0
148,383,PC DESKTOP D17E5 ASPIRE TC-1650 INTEL I7-11700 RAM 8GB 1TB HDD,1.0
149,383,PC DESKTOP D17E5 ASPIRE TC-1650 INTEL I7-11700 RAM 8GB 1TB HDD,1.0
150,383,MONITOR ACER V227Q,1.0
151,383,MONITOR ACER V227Q,1.0
152,384,MONITOR DAHUA 19INC,1.0
153,384,BRACKET SCREEN,1.0
154,385,TOA MEGAPHONE 15W W/SIRINE-ZR-2015S,1.0
155,386,AXIO MYBOOK 14F 8GB/512GB SSD  ,1.0
156,387,AXIO 14E 4GB/256GB SSD SILVER,1.0
157,388,DAHUA HAC-HFW1240T 2MP OUTDOOR,1.0
158,388,DAHUA DH-HAC-HFW1240CP 2MP OUTDOOR,1.0
159,389,"MY BOOK AXIOO 14E N4000/N4020 RAM 4GB SSD M,2 256GB BLUE",1.0
160,389,MOUSE VOTRE,1.0
161,392,EPSON EB-X500,1.0
162,393,AXIO 14F 4GB/256GB SSD GREY,1.0
163,393,AXIO 14F 4GB/128GB SSD GREY,1.0
164,394,AXIOO SLIMBOOK 14 R5/8GB/256GB,1.0
165,392,EPSON EB-X500,1.0
166,374,EPSON EB-X500,1.0
167,374,EPSON EB-X500,1.0
168,379,VIEWSONIC PA-503S,1.0
169,379,VIEWSONIC PA-503S,1.0
170,379,VIEWSONIC PA-503S,1.0
171,390,VIEWSONIC PA-503S,1.0
172,391,VIEWSONIC PA-503S,1.0
173,391,VIEWSONIC PA-503S,1.0
174,395,VIEWSONIC PA-503S,1.0
175,395,VIEWSONIC PA-503S,1.0
176,395,VIEWSONIC PA-503S,1.0
177,395,VIEWSONIC PA-503S,1.0
178,395,VIEWSONIC PA-503S,1.0
179,395,VIEWSONIC PA-503S,1.0
180,396,AXIO 14F 6GB/256GB SSD GREY,1.0
181,397,NB ASUS K413EA-VIPS352/C i3-1125g4/uma/8gb/512gb/FHD HEARTY GOLD,1.0
182,398,HP 240 G8 CORE I3,1.0
